infras.cpu,infras.cpu_0,infras.eth0_rcv_byte,infras.eth0_rcv_pkt,infras.eth0_snd_byte,infras.eth0_snd_pkt,infras.eth1_rcv_byte,infras.eth1_rcv_pkt,infras.eth1_snd_byte,infras.eth1_snd_pkt,infras.eth2_rcv_byte,infras.eth2_rcv_pkt,infras.eth2_snd_byte,infras.eth2_snd_pkt,infras.freeMem,infras.lo_rcv_byte,infras.lo_rcv_pkt,infras.lo_snd_byte,infras.lo_snd_pkt,infras.suricata_proc,infras.upper_rcv_byte,infras.upper_rcv_pkt,infras.upper_snd_byte,infras.upper_snd_pkt,scale,vnf.app_layer.flow.dcerpc_tcp,vnf.app_layer.flow.dcerpc_udp,vnf.app_layer.flow.dns_tcp,vnf.app_layer.flow.dns_udp,vnf.app_layer.flow.failed_tcp,vnf.app_layer.flow.failed_udp,vnf.app_layer.flow.ftp,vnf.app_layer.flow.http,vnf.app_layer.flow.imap,vnf.app_layer.flow.msn,vnf.app_layer.flow.smb,vnf.app_layer.flow.smtp,vnf.app_layer.flow.ssh,vnf.app_layer.flow.tls,vnf.app_layer.tx.dns_tcp,vnf.app_layer.tx.dns_udp,vnf.app_layer.tx.http,vnf.app_layer.tx.smtp,vnf.app_layer.tx.tls,vnf.decoder.avg_pkt_size,vnf.decoder.bytes,vnf.decoder.dce.pkt_too_small,vnf.decoder.erspan,vnf.decoder.ethernet,vnf.decoder.gre,vnf.decoder.icmpv4,vnf.decoder.icmpv6,vnf.decoder.invalid,vnf.decoder.ipraw.invalid_ip_version,vnf.decoder.ipv4,vnf.decoder.ipv4_in_ipv6,vnf.decoder.ipv6,vnf.decoder.ipv6_in_ipv6,vnf.decoder.ltnull.pkt_too_small,vnf.decoder.ltnull.unsupported_type,vnf.decoder.max_pkt_size,vnf.decoder.mpls,vnf.decoder.null,vnf.decoder.pkts,vnf.decoder.ppp,vnf.decoder.pppoe,vnf.decoder.raw,vnf.decoder.sctp,vnf.decoder.sll,vnf.decoder.tcp,vnf.decoder.teredo,vnf.decoder.udp,vnf.decoder.vlan,vnf.decoder.vlan_qinq,vnf.defrag.ipv4.fragments,vnf.defrag.ipv4.reassembled,vnf.defrag.ipv4.timeouts,vnf.defrag.ipv6.fragments,vnf.defrag.ipv6.reassembled,vnf.defrag.ipv6.timeouts,vnf.defrag.max_frag_hits,vnf.detect.alert,vnf.dns.memcap_global,vnf.dns.memcap_state,vnf.dns.memuse,vnf.flow.emerg_mode_entered,vnf.flow.emerg_mode_over,vnf.flow.memcap,vnf.flow.memuse,vnf.flow.spare,vnf.flow.tcp_reuse,vnf.flow_mgr.bypassed_pruned,vnf.flow_mgr.closed_pruned,vnf.flow_mgr.est_pruned,vnf.flow_mgr.flows_checked,vnf.flow_mgr.flows_notimeout,vnf.flow_mgr.flows_removed,vnf.flow_mgr.flows_timeout,vnf.flow_mgr.flows_timeout_inuse,vnf.flow_mgr.new_pruned,vnf.flow_mgr.rows_busy,vnf.flow_mgr.rows_checked,vnf.flow_mgr.rows_empty,vnf.flow_mgr.rows_maxlen,vnf.flow_mgr.rows_skipped,vnf.http.memcap,vnf.http.memuse,vnf.ips.accepted,vnf.ips.blocked,vnf.ips.rejected,vnf.ips.replaced,vnf.tcp.invalid_checksum,vnf.tcp.memuse,vnf.tcp.no_flow,vnf.tcp.pseudo,vnf.tcp.pseudo_failed,vnf.tcp.reassembly_gap,vnf.tcp.reassembly_memuse,vnf.tcp.rst,vnf.tcp.segment_memcap_drop,vnf.tcp.sessions,vnf.tcp.ssn_memcap_drop,vnf.tcp.stream_depth_reached,vnf.tcp.syn,vnf.tcp.synack,vnf.time_stamp_sec,vnf.time_stamp_sec_delta,vnf.uptime
22.00000,22.00000,0.00000,0.00000,0.00000,0.00000,2640754.00000,2477.00000,2636117.00000,2473.00000,2648376.00000,2484.50000,2645339.50000,2481.50000,1457.00000,0.00000,0.00000,0.00000,0.00000,9.00000,0.00000,4965.50000,0.00000,4954.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,591.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5222870.88889,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,4965.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4965.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4963.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,490.72222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1344.00000,1.22222,0.00000,0.00000,0.00000,0.00000,5.61111,5.55556,0.00000,0.00000,0.00000,468.77778,0.00000,0.00000,0.11111,0.11111,-2.33333,0.00000,0.00000,4965.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
25.75000,25.75000,0.00000,0.00000,0.00000,0.00000,5253948.50000,4928.50000,5254055.00000,4929.00000,5264178.00000,4938.50000,5264178.00000,4938.50000,1451.00000,0.00000,0.00000,0.00000,0.00000,11.00000,0.00000,9865.50000,0.00000,9865.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,928.77778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9540066.00000,0.00000,0.00000,0.00000,0.00000,2.05556,0.00000,0.00000,0.00000,9069.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9069.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9067.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,898.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-696.00000,-0.27778,0.00000,0.00000,0.00000,0.00000,-73.55556,-73.38889,-0.16667,-0.16667,0.00000,919.80556,0.00000,0.00000,0.16667,0.00000,20.27778,0.00000,0.00000,9069.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
38.00000,38.00000,0.00000,0.00000,0.00000,0.00000,7863734.00000,7377.00000,7863627.00000,7377.00000,7869064.00000,7382.00000,7869277.00000,7382.00000,1445.00000,0.00000,0.00000,0.00000,0.00000,16.50000,0.00000,14745.00000,0.00000,14745.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1495.88889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15501261.55556,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,14735.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14735.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14733.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1460.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,544.00000,0.88889,0.00000,0.00000,0.00000,0.00000,71.50000,45.83333,0.88889,0.88889,0.00000,1313.66667,0.00000,0.00000,-0.11111,0.00000,-2.00000,0.00000,0.00000,14735.88889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
19.00000,19.00000,0.00000,0.00000,0.00000,0.00000,3642792.00000,3417.00000,3642898.00000,3417.00000,3644075.00000,3419.00000,3644182.00000,3419.00000,1442.00000,0.00000,0.00000,0.00000,0.00000,8.50000,0.00000,6834.00000,0.00000,6834.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,696.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7187013.33333,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,6832.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6832.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6830.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,676.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1952.00000,-1.88889,0.00000,0.00000,0.00000,0.00000,17.00000,16.22222,0.88889,0.88889,0.00000,810.00000,0.00000,0.00000,-0.33333,0.00000,-2.55556,0.00000,0.00000,6832.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
26.25000,26.25000,0.00000,0.00000,0.00000,0.00000,5520766.00000,5179.00000,5520659.50000,5179.00000,5529989.00000,5187.50000,5529936.00000,5187.50000,1441.00000,0.00000,0.00000,0.00000,0.00000,11.50000,0.00000,10369.00000,0.00000,10368.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1003.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9709230.66667,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,9230.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9230.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9228.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,931.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.00000,-10.44444,0.00000,0.00000,0.00000,935.00000,0.00000,0.00000,0.22222,0.00000,-10.38889,0.00000,0.00000,9230.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
35.00000,35.00000,0.00000,0.00000,0.00000,0.00000,7444094.50000,6983.00000,7444094.50000,6983.00000,7447725.00000,6987.00000,7447725.50000,6987.00000,1440.00000,0.00000,0.00000,0.00000,0.00000,15.25000,0.00000,13973.50000,0.00000,13973.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1405.58333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13911724.33333,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,13225.02778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13225.02778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13222.91667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1372.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1024.00000,6.16667,0.00000,0.00000,0.00000,0.00000,1.72222,2.61111,-0.27778,-0.27778,0.00000,1264.00000,0.00000,0.00000,0.00000,0.00000,-8.27778,0.00000,0.00000,13225.02778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
43.50000,43.50000,0.00000,0.00000,0.00000,0.00000,9400104.00000,8818.50000,9399944.00000,8818.50000,9433521.00000,8849.50000,9433468.00000,8849.50000,1436.00000,0.00000,0.00000,0.00000,0.00000,19.50000,0.00000,17667.00000,0.00000,17666.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1781.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,18617460.88889,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,17698.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17698.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17696.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1755.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-64.00000,0.11111,0.00000,0.00000,0.00000,0.00000,-15.11111,-16.00000,-0.55556,-0.55556,0.00000,1581.11111,0.00000,0.00000,-1.00000,0.00000,-12.11111,0.00000,0.00000,17698.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
51.00000,51.00000,0.00000,0.00000,0.00000,0.00000,11427044.00000,10720.00000,11426830.00000,10719.00000,11465206.00000,10755.00000,11465100.00000,10755.00000,1432.00000,0.00000,0.00000,0.00000,0.00000,23.00000,0.00000,21459.00000,0.00000,21458.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2216.27778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22458786.00000,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,21349.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21349.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21347.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2194.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1632.00000,-3.33333,0.00000,0.00000,0.00000,0.00000,40.94444,40.77778,0.55556,0.55556,0.00000,1971.05556,0.00000,0.00000,-0.33333,0.00000,-10.11111,0.00000,0.00000,21349.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
59.00000,59.00000,0.00000,0.00000,0.00000,0.00000,13527072.00000,12690.00000,13527072.00000,12690.00000,13534526.00000,12697.00000,13534419.00000,12696.00000,1427.00000,0.00000,0.00000,0.00000,0.00000,27.00000,0.00000,25382.00000,0.00000,25380.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2664.63889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,27782899.55556,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,26410.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26410.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26408.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2657.27778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2120.00000,-2.75000,0.00000,0.00000,0.00000,0.00000,30.05556,29.83333,-0.33333,-0.33333,0.00000,2379.94444,0.00000,0.00000,0.16667,0.00000,-3.05556,0.00000,0.00000,26410.47222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
67.00000,67.00000,0.00000,0.00000,0.00000,0.00000,15630286.00000,14663.00000,15630499.00000,14663.00000,15642754.00000,14674.00000,15642647.00000,14674.00000,1423.00000,0.00000,0.00000,0.00000,0.00000,30.50000,0.00000,29340.00000,0.00000,29342.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2863.08333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30285695.22222,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,28789.63889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28789.63889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28787.52778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2854.97222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1936.00000,-3.77778,0.00000,0.00000,0.00000,0.00000,11.33333,11.16667,0.16667,0.16667,0.00000,2730.38889,0.00000,0.00000,-0.11111,0.00000,-24.61111,0.00000,0.00000,28789.63889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
