infras.cpu,infras.cpu_0,infras.eth0_rcv_byte,infras.eth0_rcv_pkt,infras.eth0_snd_byte,infras.eth0_snd_pkt,infras.eth1_rcv_byte,infras.eth1_rcv_pkt,infras.eth1_snd_byte,infras.eth1_snd_pkt,infras.eth2_rcv_byte,infras.eth2_rcv_pkt,infras.eth2_snd_byte,infras.eth2_snd_pkt,infras.freeMem,infras.lo_rcv_byte,infras.lo_rcv_pkt,infras.lo_snd_byte,infras.lo_snd_pkt,infras.suricata_proc,infras.upper_rcv_byte,infras.upper_rcv_pkt,infras.upper_snd_byte,infras.upper_snd_pkt,scale,vnf.app_layer.flow.dcerpc_tcp,vnf.app_layer.flow.dcerpc_udp,vnf.app_layer.flow.dns_tcp,vnf.app_layer.flow.dns_udp,vnf.app_layer.flow.failed_tcp,vnf.app_layer.flow.failed_udp,vnf.app_layer.flow.ftp,vnf.app_layer.flow.http,vnf.app_layer.flow.imap,vnf.app_layer.flow.msn,vnf.app_layer.flow.smb,vnf.app_layer.flow.smtp,vnf.app_layer.flow.ssh,vnf.app_layer.flow.tls,vnf.app_layer.tx.dns_tcp,vnf.app_layer.tx.dns_udp,vnf.app_layer.tx.http,vnf.app_layer.tx.smtp,vnf.app_layer.tx.tls,vnf.decoder.avg_pkt_size,vnf.decoder.bytes,vnf.decoder.dce.pkt_too_small,vnf.decoder.erspan,vnf.decoder.ethernet,vnf.decoder.gre,vnf.decoder.icmpv4,vnf.decoder.icmpv6,vnf.decoder.invalid,vnf.decoder.ipraw.invalid_ip_version,vnf.decoder.ipv4,vnf.decoder.ipv4_in_ipv6,vnf.decoder.ipv6,vnf.decoder.ipv6_in_ipv6,vnf.decoder.ltnull.pkt_too_small,vnf.decoder.ltnull.unsupported_type,vnf.decoder.max_pkt_size,vnf.decoder.mpls,vnf.decoder.null,vnf.decoder.pkts,vnf.decoder.ppp,vnf.decoder.pppoe,vnf.decoder.raw,vnf.decoder.sctp,vnf.decoder.sll,vnf.decoder.tcp,vnf.decoder.teredo,vnf.decoder.udp,vnf.decoder.vlan,vnf.decoder.vlan_qinq,vnf.defrag.ipv4.fragments,vnf.defrag.ipv4.reassembled,vnf.defrag.ipv4.timeouts,vnf.defrag.ipv6.fragments,vnf.defrag.ipv6.reassembled,vnf.defrag.ipv6.timeouts,vnf.defrag.max_frag_hits,vnf.detect.alert,vnf.dns.memcap_global,vnf.dns.memcap_state,vnf.dns.memuse,vnf.flow.emerg_mode_entered,vnf.flow.emerg_mode_over,vnf.flow.memcap,vnf.flow.memuse,vnf.flow.spare,vnf.flow.tcp_reuse,vnf.flow_mgr.bypassed_pruned,vnf.flow_mgr.closed_pruned,vnf.flow_mgr.est_pruned,vnf.flow_mgr.flows_checked,vnf.flow_mgr.flows_notimeout,vnf.flow_mgr.flows_removed,vnf.flow_mgr.flows_timeout,vnf.flow_mgr.flows_timeout_inuse,vnf.flow_mgr.new_pruned,vnf.flow_mgr.rows_busy,vnf.flow_mgr.rows_checked,vnf.flow_mgr.rows_empty,vnf.flow_mgr.rows_maxlen,vnf.flow_mgr.rows_skipped,vnf.http.memcap,vnf.http.memuse,vnf.ips.accepted,vnf.ips.blocked,vnf.ips.rejected,vnf.ips.replaced,vnf.tcp.invalid_checksum,vnf.tcp.memuse,vnf.tcp.no_flow,vnf.tcp.pseudo,vnf.tcp.pseudo_failed,vnf.tcp.reassembly_gap,vnf.tcp.reassembly_memuse,vnf.tcp.rst,vnf.tcp.segment_memcap_drop,vnf.tcp.sessions,vnf.tcp.ssn_memcap_drop,vnf.tcp.stream_depth_reached,vnf.tcp.syn,vnf.tcp.synack,vnf.time_stamp_sec,vnf.time_stamp_sec_delta,vnf.uptime
15.00000,15.00000,0.00000,0.00000,0.00000,0.00000,2641289.00000,2478.00000,2637820.00000,2474.50000,2655466.50000,2491.00000,2650825.50000,2486.50000,1428.00000,0.00000,0.00000,0.00000,0.00000,5.75000,0.00000,4971.50000,0.00000,4963.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5232338.88889,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,4974.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4974.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4972.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2528.00000,1.44444,0.00000,0.00000,0.00000,0.00000,3.88889,4.77778,0.00000,0.00000,0.00000,22.33333,0.00000,0.00000,0.00000,0.00000,-1.11111,0.00000,0.00000,4974.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
23.50000,23.50000,0.00000,0.00000,0.00000,0.00000,5232304.00000,4908.00000,5232411.00000,4908.00000,5240406.00000,4916.00000,5240513.00000,4916.00000,1427.00000,0.00000,0.00000,0.00000,0.00000,10.00000,0.00000,9829.00000,0.00000,9829.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,38.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9809936.00000,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,9325.88889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9325.88889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9324.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1568.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22222,-0.22222,0.00000,0.00000,0.00000,38.69444,0.00000,0.00000,0.11111,0.00000,0.38889,0.00000,0.00000,9325.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
33.75000,33.75000,0.00000,0.00000,0.00000,0.00000,7796731.50000,7314.00000,7796785.00000,7314.00000,7824016.50000,7339.50000,7824016.50000,7339.50000,1426.00000,0.00000,0.00000,0.00000,0.00000,14.25000,0.00000,14646.50000,0.00000,14646.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14887080.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,14152.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14152.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14150.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,352.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.55556,-1.55556,0.00000,0.00000,0.00000,37.66667,0.00000,0.00000,0.11111,-0.05556,0.11111,0.00000,0.00000,14152.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
19.50000,19.50000,0.00000,0.00000,0.00000,0.00000,4357225.00000,4087.00000,4357118.00000,4087.00000,4363195.00000,4093.00000,4363301.00000,4093.00000,1424.00000,0.00000,0.00000,0.00000,0.00000,8.50000,0.00000,8181.00000,0.00000,8181.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,80.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9555134.88889,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,9083.83333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9083.83333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9081.61111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1024.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88889,0.00000,0.00000,0.00000,0.00000,86.05556,0.00000,0.00000,0.00000,0.00000,1.50000,0.00000,0.00000,9083.83333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
28.50000,28.50000,0.00000,0.00000,0.00000,0.00000,6601261.50000,6192.50000,6601421.50000,6192.50000,6606965.00000,6198.00000,6607018.00000,6198.00000,1423.50000,0.00000,0.00000,0.00000,0.00000,12.50000,0.00000,12391.00000,0.00000,12391.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,66.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13034613.77778,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,12391.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12391.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12389.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,192.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.27778,-2.27778,0.00000,0.00000,0.00000,52.22222,0.00000,0.00000,0.11111,0.00000,0.94444,0.00000,0.00000,12391.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
37.00000,37.00000,0.00000,0.00000,0.00000,0.00000,8928873.00000,8376.00000,8928766.00000,8376.00000,8937614.00000,8384.00000,8937507.00000,8384.00000,1422.00000,0.00000,0.00000,0.00000,0.00000,15.50000,0.00000,16750.00000,0.00000,16750.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,44.27778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16669502.00000,0.00000,0.00000,0.00000,0.00000,1.88889,0.00000,0.00000,0.00000,15846.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15846.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15844.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,448.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.33333,2.33333,0.00000,0.00000,0.00000,39.94444,0.00000,0.00000,0.05556,0.00000,-0.72222,0.00000,0.00000,15846.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
46.00000,46.00000,0.00000,0.00000,0.00000,0.00000,11367454.00000,10664.00000,11367454.00000,10664.00000,11304454.00000,10605.00000,11304454.00000,10605.00000,1421.00000,0.00000,0.00000,0.00000,0.00000,20.00000,0.00000,21279.00000,0.00000,21279.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,27.77778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21126358.44444,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,20082.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20082.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20081.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,96.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.88889,-1.88889,0.00000,0.00000,0.00000,27.16667,0.00000,0.00000,-0.05556,0.00000,0.33333,0.00000,0.00000,20082.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
57.00000,57.00000,0.00000,0.00000,0.00000,0.00000,13809451.00000,12955.00000,13809558.00000,12955.00000,13824904.00000,12969.00000,13824904.00000,12969.00000,1420.00000,0.00000,0.00000,0.00000,0.00000,24.50000,0.00000,25924.00000,0.00000,25924.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,27845844.22222,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,26470.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26470.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26468.27778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,128.00000,-0.08333,0.00000,0.00000,0.00000,0.00000,1.22222,1.22222,0.00000,0.00000,0.00000,19.25000,0.00000,0.00000,0.02778,0.00000,-0.55556,0.00000,0.00000,26470.36111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
65.75000,65.75000,0.00000,0.00000,0.00000,0.00000,16304848.50000,15295.50000,16304688.50000,15295.50000,16321851.00000,15311.50000,16321691.50000,15311.50000,1419.00000,0.00000,0.00000,0.00000,0.00000,29.50000,0.00000,30607.00000,0.00000,30607.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,32155064.44444,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,30566.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30566.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30564.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,448.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.11111,1.11111,0.00000,0.00000,0.00000,14.77778,0.00000,0.00000,0.00000,0.00000,-0.33333,0.00000,0.00000,30566.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
73.00000,73.00000,0.00000,0.00000,0.00000,0.00000,18813362.00000,17649.00000,18816773.00000,17652.00000,18790230.00000,17627.00000,18790230.00000,17627.00000,1417.00000,0.00000,0.00000,0.00000,0.00000,31.50000,0.00000,35279.00000,0.00000,35279.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35637009.11111,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,33876.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,33876.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,33874.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,192.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.88889,-1.88889,0.00000,0.00000,0.00000,10.55556,0.00000,0.00000,0.00000,-0.11111,0.33333,0.00000,0.00000,33876.27778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
