infras.cpu,infras.cpu_0,infras.eth0_rcv_byte,infras.eth0_rcv_pkt,infras.eth0_snd_byte,infras.eth0_snd_pkt,infras.eth1_rcv_byte,infras.eth1_rcv_pkt,infras.eth1_snd_byte,infras.eth1_snd_pkt,infras.freeMem,infras.lo_rcv_byte,infras.lo_rcv_pkt,infras.lo_snd_byte,infras.lo_snd_pkt,infras.squid3_proc,infras.upper_rcv_byte,infras.upper_rcv_pkt,infras.upper_snd_byte,infras.upper_snd_pkt,scale,vnf.Available_number_of_file_descriptors,vnf.Average_HTTP_requests_per_minute_since_start,vnf.Average_ICP_messages_per_minute_since_start,vnf.CPU_Time,vnf.Cache_Hits,vnf.Cache_Misses,vnf.DNS_Lookups,vnf.Disk_hits_as_%_of_hit_requests,vnf.Files_queued_for_open,vnf.Free_Ordinary_blocks,vnf.Free_Small_blocks,vnf.HTTP_Requests_(All),vnf.Hits_as_%_of_all_requests,vnf.Hits_as_%_of_bytes_sent,vnf.Holding_blocks,vnf.ICP_Queries,vnf.Largest_file_desc_currently_in_use,vnf.Maximum_Resident_Size,vnf.Maximum_number_of_file_descriptors,vnf.Mean_Object_Size,vnf.Memory_hits_as_%_of_hit_requests,vnf.Near_Hits,vnf.Not-Modified_Replies,vnf.Number_of_HTCP_messages_received,vnf.Number_of_HTCP_messages_sent,vnf.Number_of_HTTP_requests_received,vnf.Number_of_ICP_messages_received,vnf.Number_of_ICP_messages_sent,vnf.Number_of_clients_accessing_cache,vnf.Number_of_file_desc_currently_in_use,vnf.Number_of_queued_ICP_replies,vnf.Ordinary_blocks,vnf.Page_faults_with_physical_i/o,vnf.Process_Data_Segment_Size_via_sbrk(),vnf.Request_failure_ratio,vnf.Requests_given_to_unlinkd,vnf.Reserved_number_of_file_descriptors,vnf.Select_loop_called,vnf.Small_blocks,vnf.Storage_Mem_capacity,vnf.Storage_Mem_size,vnf.Storage_Swap_capacity,vnf.Storage_Swap_size,vnf.Store_Disk_files_open,vnf.Total_accounted,vnf.Total_free,vnf.Total_in_use,vnf.Total_size,vnf.Total_space_in_arena,vnf.UP_Time,vnf.aborted_requests,vnf.average_select_fd_period,vnf.client_http.all_median_svc_time,vnf.client_http.errors,vnf.client_http.hit_median_svc_time,vnf.client_http.hits,vnf.client_http.kbytes_in,vnf.client_http.kbytes_out,vnf.client_http.miss_median_svc_time,vnf.client_http.nh_median_svc_time,vnf.client_http.nm_median_svc_time,vnf.client_http.requests,vnf.cpu_time,vnf.cpu_usage,vnf.dns.median_svc_time,vnf.icp.kbytes_recv,vnf.icp.kbytes_sent,vnf.icp.pkts_recv,vnf.icp.pkts_sent,vnf.icp.q_kbytes_recv,vnf.icp.q_kbytes_sent,vnf.icp.queries_recv,vnf.icp.queries_sent,vnf.icp.query_median_svc_time,vnf.icp.query_timeouts,vnf.icp.r_kbytes_recv,vnf.icp.r_kbytes_sent,vnf.icp.replies_queued,vnf.icp.replies_recv,vnf.icp.replies_sent,vnf.icp.reply_median_svc_time,vnf.median_select_fds,vnf.memPoolAlloc_calls,vnf.memPoolFree_calls,vnf.memPool_accounted,vnf.memPool_unaccounted,vnf.page_faults,vnf.select_fds,vnf.select_loops,vnf.server.all.errors,vnf.server.all.kbytes_in,vnf.server.all.kbytes_out,vnf.server.all.requests,vnf.server.ftp.errors,vnf.server.ftp.kbytes_in,vnf.server.ftp.kbytes_out,vnf.server.ftp.requests,vnf.server.http.errors,vnf.server.http.kbytes_in,vnf.server.http.kbytes_out,vnf.server.http.requests,vnf.server.other.errors,vnf.server.other.kbytes_in,vnf.server.other.kbytes_out,vnf.server.other.requests,vnf.service_time_10sec,vnf.swap.files_cleaned,vnf.swap.ins,vnf.swap.outs,vnf.syscalls.disk.closes,vnf.syscalls.disk.opens,vnf.syscalls.disk.reads,vnf.syscalls.disk.seeks,vnf.syscalls.disk.unlinks,vnf.syscalls.disk.writes,vnf.syscalls.sock.accepts,vnf.syscalls.sock.binds,vnf.syscalls.sock.closes,vnf.syscalls.sock.connects,vnf.syscalls.sock.reads,vnf.syscalls.sock.recvfroms,vnf.syscalls.sock.sendtos,vnf.syscalls.sock.sockets,vnf.syscalls.sock.writes,vnf.time_stamp_sec,vnf.time_stamp_sec_delta,vnf.unlink.requests,vnf.wall_time
23.25000,23.25000,0.00000,0.00000,0.00000,0.00000,7119066.50000,9559.50000,7217344.00000,9532.00000,1823.50000,758.50000,2.00000,758.50000,2.00000,17.75000,9562.00000,9562.00000,10719.00000,9534.00000,0.00000,65525.00000,28610.30000,0.00000,7.64000,0.00000,0.00000,0.00000,0.00000,0.00000,135.00000,0.00000,0.00000,0.00000,0.00000,37408.00000,0.00000,13.00000,86352.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,598.65000,0.00000,0.00000,0.00000,11.00000,0.00000,5101.00000,0.00000,5108.00000,0.00000,0.00000,100.00000,0.16000,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,888.00000,135.00000,135.00000,42648.00000,5240.00000,50.68400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5619136.00000,5621927.00000,888.00000,41758.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1520957855.00000,10.00000,0.00000,0.00000
30.50000,30.50000,0.00000,0.00000,0.00000,0.00000,10807215.00000,14497.50000,10952012.00000,14451.50000,1810.00000,761.00000,2.00000,761.00000,2.00000,24.75000,14500.00000,14500.00000,16253.00000,14454.00000,0.00000,65525.00000,39106.00000,0.00000,29.53650,0.00000,0.00000,0.00000,0.00000,0.00000,89.00000,0.00000,0.00000,0.00000,1.00000,37408.00000,0.00000,13.00000,86960.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,909.40000,0.00000,0.00000,0.00000,11.00000,0.00000,5151.00000,0.00000,5108.00000,0.00000,0.00000,100.00000,0.13150,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,936.50000,89.00000,89.00000,42648.00000,5240.00000,147.35350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,242.37500,6197.19167,0.00000,0.00000,0.00000,597.52500,22.58777,18.82314,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22337847.00000,22343533.50000,936.50000,41711.50000,0.00000,5938.42500,7116.75833,0.00000,6138.31667,282.60833,597.34167,0.00000,0.00000,0.00000,0.00000,0.00000,6138.31667,282.60833,597.34167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45000,0.46667,0.00000,0.00000,0.00833,0.00833,597.52500,0.02500,1194.88333,597.35000,1228.52500,0.07500,0.00000,597.36667,2988.27500,1520957951.00000,10.00000,0.00000,120.00000
39.25000,39.25000,0.00000,0.00000,0.00000,0.00000,14461196.00000,19533.50000,14655974.50000,19393.50000,1792.00000,761.50000,2.00000,761.50000,2.00000,32.50000,19535.50000,19535.50000,21801.00000,19396.00000,0.00000,65525.00000,48437.85000,0.00000,59.03850,0.00000,0.00000,0.00000,0.00000,0.00000,123.50000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,13.00000,86960.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1231.70000,0.00000,0.00000,0.00000,11.00000,0.00000,5228.00000,0.00000,5252.00000,0.00000,0.00000,100.00000,0.11500,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1011.50000,123.50000,123.50000,42792.00000,5384.00000,249.34250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,321.68328,8215.73190,0.00000,0.00000,0.00000,792.11236,55.99951,23.33312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46810786.00000,46820344.50000,1011.50000,41755.00000,0.00000,7889.16945,8599.82350,0.00000,8137.82774,375.02077,791.92070,0.00000,0.00000,0.00000,0.00000,0.00000,8137.82774,375.02077,791.92070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22500,0.23333,0.00000,0.00000,0.00417,0.00417,792.11236,0.01250,1584.04139,791.92486,1654.28304,0.06250,0.00000,791.93319,3963.07014,1520958053.00000,10.00000,0.00000,240.00004
23.00000,23.00000,0.00000,0.00000,0.00000,0.00000,6956451.50000,9353.50000,7051576.00000,9297.50000,1776.00000,764.00000,2.00000,764.00000,2.00000,18.00000,9356.00000,9356.00000,10457.50000,9300.00000,0.00000,65525.00000,50402.75000,0.00000,86.99750,0.00000,0.00000,0.00000,0.00000,0.00000,162.00000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,13.00000,87744.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,583.70000,0.00000,0.00000,0.00000,11.00000,0.00000,5354.00000,0.00000,5384.00000,0.00000,0.00000,100.00000,0.11200,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1134.00000,162.00000,162.00000,42924.00000,5516.00000,351.27550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,355.18995,9069.75873,0.00000,0.00000,0.00000,874.43654,76.53710,25.51236,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68605815.50000,68620810.00000,1134.00000,41790.00000,0.00000,8706.09545,9131.28539,0.00000,8983.81208,414.07328,874.24321,0.00000,0.00000,0.00000,0.00000,0.00000,8983.81208,414.07328,874.24321,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18000,0.18667,0.00000,0.00000,0.00333,0.00333,874.43654,0.01000,1748.68642,874.24654,1829.84308,0.06000,0.00000,874.25321,4375.17939,1520958155.00000,10.00000,0.00000,300.00004
32.25000,32.25000,0.00000,0.00000,0.00000,0.00000,11418814.50000,15360.50000,11572800.00000,15283.50000,1763.00000,759.00000,2.00000,759.00000,2.00000,26.25000,15363.00000,15363.00000,17187.00000,15286.00000,0.00000,65525.00000,49253.05000,0.00000,110.21850,0.00000,0.00000,0.00000,0.00000,0.00000,153.50000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,13.00000,87744.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,963.20000,0.00000,0.00000,0.00000,11.00000,0.00000,5362.50000,0.00000,5384.00000,0.00000,0.00000,100.00000,0.11350,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1141.50000,153.50000,153.50000,42924.00000,5516.00000,453.20300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,364.06662,9290.99537,0.00000,0.00000,0.00000,895.76654,78.81464,26.27154,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,86501323.50000,86519034.00000,1141.50000,41782.50000,0.00000,8930.20542,9387.44535,0.00000,9202.94538,424.38327,895.56654,0.00000,0.00000,0.00000,0.00000,0.00000,9202.94538,424.38327,895.56654,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,895.76654,0.00000,1791.33308,895.56654,1883.27307,0.05667,0.00000,895.56654,4482.43271,1520958257.00000,10.00000,0.00000,300.00004
42.00000,42.00000,0.00000,0.00000,0.00000,0.00000,15948169.00000,21574.00000,16161771.50000,21395.00000,1743.50000,761.50000,2.00000,761.50000,2.00000,35.25000,21576.00000,21576.00000,24049.00000,21397.50000,0.00000,65525.00000,52737.85000,0.00000,143.56400,0.00000,0.00000,0.00000,0.00000,0.00000,225.50000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,13.00000,89472.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1353.10000,0.00000,0.00000,0.00000,11.00000,0.00000,5683.00000,0.00000,5780.00000,0.00000,0.00000,100.00000,0.10950,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1446.50000,225.50000,225.50000,43320.00000,5912.00000,555.32900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,376.44667,9601.71000,0.00000,0.00000,0.00000,925.71667,81.90275,27.30092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,113496314.50000,113520682.50000,1446.50000,41871.50000,0.00000,9206.97667,9451.06333,0.00000,9510.73667,438.78667,925.51667,0.00000,0.00000,0.00000,0.00000,0.00000,9510.73667,438.78667,925.51667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,925.71667,0.00000,1851.23333,925.51667,1931.99667,0.05667,0.00000,925.51667,4632.24333,1520958359.00000,10.00000,0.00000,300.00000
51.50000,51.50000,0.00000,0.00000,0.00000,0.00000,20559060.50000,27766.00000,20840889.00000,27569.50000,1719.00000,764.00000,2.00000,764.00000,2.00000,44.00000,27768.50000,27768.50000,30985.00000,27570.50000,0.00000,65524.00000,58479.60000,0.00000,184.31400,0.00000,0.00000,0.00000,0.00000,0.00000,163.00000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,13.00000,89472.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1755.35000,0.00000,0.00000,0.00000,12.00000,0.00000,5749.00000,0.00000,5780.00000,0.00000,0.00000,100.00000,0.10400,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1507.00000,163.00000,163.00000,43320.00000,5912.00000,652.63700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,386.72999,9860.85301,0.00000,0.00000,0.00000,950.69330,83.81779,27.93926,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,147900681.00000,147933620.00000,1507.00000,41813.00000,0.00000,9444.30302,9507.47302,0.00000,9767.45967,450.75332,950.49997,0.00000,0.00000,0.00000,0.00000,0.00000,9767.45967,450.75332,950.49997,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,950.69997,0.00000,1901.19327,950.50663,1975.75660,0.05667,0.00000,950.50663,4757.22318,1520958457.00000,10.00000,0.00000,300.00001
61.75000,61.75000,0.00000,0.00000,0.00000,0.00000,25078399.50000,34272.00000,25397378.00000,33730.00000,1688.00000,762.50000,2.00000,762.50000,2.00000,53.50000,34275.00000,34275.00000,37897.00000,33732.00000,0.00000,65511.00000,65956.00000,0.00000,234.18800,0.00000,0.00000,0.00000,0.00000,0.00000,188.00000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,26.00000,90192.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2133.10000,0.00000,0.00000,0.00000,25.00000,0.00000,5991.00000,0.00000,6068.00000,0.00000,0.00000,100.00000,0.09900,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1719.00000,188.00000,188.00000,43608.00000,6200.00000,755.34900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,564.88318,14394.99264,0.00000,0.00000,0.00000,1387.76628,113.87596,37.95864,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,193066737.00000,193110036.00000,1719.00000,41878.00000,0.00000,13708.38616,11574.62343,0.00000,14258.94934,658.35982,1387.58628,0.00000,0.00000,0.00000,0.00000,0.00000,14258.94934,658.35982,1387.58628,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1387.78294,0.00000,2775.34256,1387.58961,2863.66920,0.05333,0.00000,1387.58961,6943.81806,1520958559.00000,10.00000,0.00000,300.00008
70.50000,70.50000,0.00000,0.00000,0.00000,0.00000,29727096.00000,41056.00000,30074420.50000,40193.00000,1648.50000,762.50000,2.00000,762.50000,2.00000,62.50000,41058.50000,41058.50000,45125.00000,40195.50000,0.00000,65513.00000,73921.05000,0.00000,291.60300,0.00000,0.00000,0.00000,0.00000,0.00000,414.00000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,23.50000,97360.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2529.80000,0.00000,0.00000,0.00000,23.00000,0.00000,7338.50000,0.00000,7684.00000,0.00000,0.00000,100.00000,0.09600,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,3008.50000,414.00000,414.00000,45224.00000,7816.00000,853.14900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,747.98300,19051.86828,0.00000,0.00000,0.00000,1836.66919,145.51087,48.50360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,244407351.00000,244468067.50000,3008.50000,42131.00000,0.00000,18061.80539,12673.26109,0.00000,18871.95170,871.70295,1836.47586,0.00000,0.00000,0.00000,0.00000,0.00000,18871.95170,871.70295,1836.47586,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1836.67586,0.00000,3673.14505,1836.47919,3768.44501,0.05333,0.00000,1836.47919,9189.19929,1520958657.00000,10.00000,0.00000,300.00013
81.75000,81.75000,0.00000,0.00000,0.00000,0.00000,34379705.50000,49072.00000,34680415.00000,46389.50000,1603.00000,765.00000,2.00000,765.00000,2.00000,75.00000,49074.50000,49074.50000,52074.00000,46392.50000,0.00000,65512.00000,83034.25000,0.00000,362.15250,0.00000,0.00000,0.00000,0.00000,0.00000,893.50000,0.00000,0.00000,0.00000,0.90000,37408.00000,0.00000,24.00000,107288.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2931.50000,0.00000,0.00000,0.00000,24.00000,0.00000,8575.00000,0.00000,10278.00000,0.00000,0.00000,100.00000,0.09500,0.00000,0.10000,276.00000,0.00000,0.00000,0.00000,4193.00000,893.50000,893.50000,47818.00000,10410.00000,956.12950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,886.22406,22566.33767,0.00000,0.00000,0.00000,2175.45269,169.04681,56.34888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,307665184.50000,307757111.00000,4193.00000,42711.00000,0.00000,21359.62061,12733.50032,0.00000,22353.35790,1032.77057,2175.26102,0.00000,0.00000,0.00000,0.00000,0.00000,22353.35790,1032.77057,2175.26102,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2175.47269,0.00000,4350.71204,2175.27435,4454.19526,0.05333,0.00000,2175.27435,10883.82176,1520958760.00000,10.00000,0.00000,300.00031
